59,246.941651,46.000000,1.280000,0.106667
60,261.625565,49.000000,1.386667,0.400000
60,261.625565,42.000000,1.797333,0.090667
79,783.990872,29.000000,1.930667,0.064000
60,261.625565,44.000000,2.000000,0.149333
60,261.625565,44.000000,2.277333,0.261333
60,261.625565,42.000000,2.677333,0.170667
60,261.625565,45.000000,3.002667,0.101333
63,311.126984,55.000000,3.253333,0.352000
61,277.182631,31.000000,3.706667,0.090667
60,261.625565,49.000000,3.797333,0.234667
59,246.941651,40.000000,4.032000,0.053333
60,261.625565,51.000000,4.085333,0.170667
60,261.625565,44.000000,4.298667,0.106667
59,246.941651,36.000000,4.405333,0.112000
60,261.625565,40.000000,4.517333,0.272000
59,246.941651,31.000000,4.789333,0.080000
