label timestamp flux energy band1 band2 band3 band4 band5 centroid rolloff flatness low_ratio high_ratio mfcc0 mfcc1 mfcc2 mfcc3 mfcc4 mfcc5 mfcc6 mfcc7 mfcc8 mfcc9 mfcc10 mfcc11 mfcc12
kick 19.967982 0.013235 0.000000 0.008516 0.002571 0.001702 0.002128 0.000169 45.483606 152.000000 0.864248 85.162399 1.685189 -300.905228 16.545938 10.788409 7.038773 2.936490 -0.279915 -0.462862 0.771076 0.883069 0.701545 -0.000000 -0.701545 -0.883069
kick 20.510748 0.017567 0.000000 0.015700 0.002320 0.001618 0.001884 0.000173 29.153183 124.000000 0.737039 157.000741 1.734073 -296.904717 22.075382 15.182624 10.244890 6.078435 1.753799 -1.281551 -1.167049 -0.499170 -0.082706 -0.000000 0.082706 0.499170
snare 21.999728 0.024454 0.000000 0.002711 0.004259 0.010379 0.007391 0.002084 104.757518 193.000000 0.906573 27.110117 20.836740 -300.841393 -0.251459 2.782357 7.217290 0.872286 0.752030 3.857915 -1.614394 -0.667324 -0.043912 -0.000000 0.043912 0.667324
snare 22.124535 0.011493 0.000000 0.004773 0.005733 0.006961 0.002510 0.001079 73.041186 183.000000 0.902224 47.726713 10.785726 -298.434524 9.032837 2.582122 7.029026 2.024080 2.866859 3.057942 0.494495 2.620266 -0.422428 -0.000000 0.422428 -2.620266
snare 23.233288 0.053512 0.000000 0.006925 0.018472 0.016719 0.014057 0.000756 81.478917 147.000000 0.777844 69.247698 7.560712 -279.012073 4.580303 -3.705795 -1.616662 -4.743136 0.329877 -0.976846 5.197505 -3.009034 -1.943445 -0.000000 1.943445 3.009034
snare 23.718005 0.154678 0.000000 0.006050 0.076414 0.065934 0.013773 0.001423 74.196797 127.000000 0.552911 60.499468 14.234576 -260.347635 -3.708177 -22.085304 3.943634 -2.886634 4.717048 -5.819654 4.850610 0.543166 -3.227862 -0.000000 3.227862 -0.543166
snare 24.185306 0.067588 0.000000 0.005962 0.043226 0.016543 0.003893 0.000296 57.303493 114.000000 0.682415 59.620978 2.963712 -276.126770 6.963452 -18.503708 1.668980 0.847320 0.972130 -0.226265 0.984925 -1.245258 1.277421 -0.000000 -1.277421 1.245258
snare 24.638095 0.041955 0.000000 0.003351 0.025464 0.014241 0.001263 0.000137 59.712217 110.000000 0.769343 33.505164 1.368724 -286.838194 3.760709 -14.559262 3.198793 0.513646 0.662355 0.325942 0.855281 -0.161083 -0.658615 -0.000000 0.658615 0.161083
snare 24.890612 0.253288 0.000000 0.009303 0.112719 0.096223 0.037693 0.000573 79.344814 138.000000 0.563347 93.028784 5.730612 -249.468943 -6.252477 -18.225347 4.393644 -5.002393 -0.528108 -5.540332 1.243260 -3.407007 0.969663 -0.000000 -0.969663 3.407007
snare 25.134422 0.026283 0.000000 0.002282 0.015455 0.006163 0.004137 0.000066 69.408377 150.000000 0.865321 22.815437 0.656654 -297.049548 2.347244 -9.232502 3.862103 3.409079 -3.218967 -0.363736 2.827103 -1.128996 0.437899 -0.000000 -0.437899 1.128996
snare 25.799093 0.020601 0.000000 0.003951 0.013482 0.004075 0.000964 0.000086 47.387898 114.000000 0.846450 39.510353 0.862840 -295.725763 10.208222 -7.305428 -3.977066 1.954228 3.503949 0.675875 1.531992 0.569024 -0.632968 -0.000000 0.632968 -0.569024
snare 26.780136 0.017521 0.000000 0.001524 0.007499 0.006412 0.003001 0.000255 75.453594 146.000000 0.939542 15.243729 2.546507 -303.682806 2.375498 -5.166999 -1.105900 0.219415 2.379183 0.476349 1.416988 0.499145 0.147215 -0.000000 -0.147215 -0.499145
snare 27.569615 0.093373 0.000000 0.008012 0.076421 0.005481 0.004936 0.000947 45.412604 74.000000 0.512593 80.115245 9.474055 -270.204832 13.840368 -25.661796 -5.137184 4.333063 -3.718199 -0.967693 2.827491 -4.181988 -0.412322 -0.000000 0.412322 4.181988
snare 28.521633 0.021897 0.000000 0.004332 0.008292 0.005393 0.004047 0.001522 78.289941 178.000000 0.932551 43.320060 15.216563 -296.933265 9.832542 -1.085838 0.353998 0.756132 -0.734744 0.584845 1.448181 0.371599 -0.766386 -0.000000 0.766386 -0.371599
snare 29.441723 0.140895 0.000000 0.010815 0.087257 0.032120 0.012326 0.003821 65.747758 132.000000 0.598181 108.151387 38.212516 -261.206068 5.571636 -20.592777 4.023542 -2.590183 -7.764161 -0.090628 3.118048 -0.961121 -1.291570 -0.000000 1.291570 0.961121
snare 30.335692 0.115568 0.000000 0.007458 0.074256 0.025242 0.010978 0.000355 59.521131 126.000000 0.598359 74.584628 3.548037 -264.471123 5.056109 -22.659113 -0.874219 -1.123327 1.925522 -1.546374 0.301188 -0.612737 -1.572973 -0.000000 1.572973 0.612737
snare 31.232562 0.116369 0.000000 0.005477 0.061842 0.039315 0.017240 0.003611 76.227115 144.000000 0.683555 54.767580 36.109275 -264.356720 -1.768925 -19.938674 2.078798 -0.986952 3.976968 0.070897 -0.060968 -1.347871 2.984195 -0.000000 -2.984195 1.347871
snare 32.248435 0.019300 0.000000 0.002203 0.007857 0.008672 0.002053 0.000153 69.412612 129.000000 0.899105 22.034386 1.533080 -300.617460 2.453818 -4.771925 2.753933 -0.938453 2.371240 0.813731 0.915092 2.482699 -1.771318 -0.000000 1.771318 -2.482699
snare 33.124989 0.041339 0.000000 0.004304 0.014976 0.013344 0.010928 0.001254 80.001695 147.000000 0.813518 43.041999 12.544483 -285.973386 4.631168 -5.371245 -6.301686 -3.493568 7.381637 2.503842 3.403322 -0.573150 1.578011 -0.000000 -1.578011 0.573150
snare 33.966712 0.027326 0.000000 0.003907 0.015536 0.005518 0.003772 0.000191 58.931810 141.000000 0.857576 39.071871 1.910201 -292.291590 9.423413 -8.783528 -3.433527 -0.060526 0.334623 -0.637668 0.912796 0.372406 -0.523254 -0.000000 0.523254 -0.372406
snare 34.872290 0.056140 0.000000 0.002283 0.016653 0.024291 0.014091 0.001023 89.296708 149.000000 0.798168 22.829895 10.229169 -285.827127 -5.692200 -7.836569 6.312529 0.610594 6.336140 1.297599 1.686589 -1.517032 0.078205 -0.000000 -0.078205 1.517032
snare 35.722721 0.045936 0.000000 0.002849 0.019149 0.017913 0.007312 0.000194 76.677537 135.000000 0.754980 28.491206 1.940987 -288.898697 -2.345691 -9.884326 6.307815 -4.171397 -4.551389 0.948210 6.016372 -4.289118 0.563534 -0.000000 -0.563534 4.289118
hat 38.033107 0.032725 0.000000 0.005592 0.011418 0.007178 0.012146 0.000915 83.943819 159.000000 0.865057 55.917660 9.152746 -290.896881 5.748548 -0.583178 -0.154452 3.005487 5.812888 0.162475 2.759325 -2.396804 1.886078 -0.000000 -1.886078 2.396804
hat 38.468481 0.121044 0.000000 0.007360 0.054209 0.036467 0.026679 0.002546 81.025373 174.000000 0.732626 73.600662 25.459376 -262.388144 0.546934 -14.417327 -7.510920 -1.330738 2.939279 2.511868 1.934058 0.113474 -0.015508 -0.000000 0.015508 -0.113474
hat 38.863220 0.190248 0.000000 0.015485 0.071356 0.043104 0.061870 0.009421 93.079929 179.000000 0.675038 154.847838 94.214149 -249.137392 1.137902 -8.410343 -12.785025 -1.840701 2.039682 1.193004 -2.376855 -1.462846 0.816089 -0.000000 -0.816089 1.462846
hat 39.501769 0.118389 0.000000 0.010590 0.048017 0.037577 0.023505 0.005486 83.720877 175.000000 0.705052 105.899737 54.857259 -260.673509 1.528791 -12.067523 -7.472531 -7.398351 1.758893 -1.951362 2.852948 -2.041751 0.919296 -0.000000 -0.919296 2.041751
hat 39.861678 0.027955 0.000000 0.003830 0.013036 0.010045 0.003963 0.001632 74.442445 176.000000 0.873192 38.298512 16.319358 -292.044937 6.285065 -7.267286 -1.316900 -2.251977 2.322991 5.174973 2.129112 2.059726 -0.036441 -0.000000 0.036441 -2.059726
